Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
4.8309,100.0227,216.6084,116.5857
9.6618,100.1481,271.4707,171.3226
14.4928,100.5274,311.0247,210.4972
19.3237,101.3629,342.9980,241.6351
24.1546,102.8679,370.2771,267.4092
28.9855,105.2288,394.3004,289.0716
33.8164,108.5805,415.9047,307.3241
38.6473,112.9983,435.6265,322.6282
43.4783,118.5010,453.8340,335.3330
48.3092,125.0622,470.7926,345.7304
53.1401,132.6221,486.7010,354.0790
57.9710,141.0992,501.7127,360.6135
62.8019,150.4003,515.9489,365.5486
67.6329,160.4278,529.5072,369.0795
72.4638,171.0846,542.4678,371.3832
77.2947,182.2780,554.8971,372.6191
82.1256,193.9214,566.8508,372.9294
86.9565,205.9355,578.3761,372.4406
91.7874,218.2488,589.5133,371.2645
96.6184,230.7972,600.2969,369.4997
101.4493,243.5241,610.7568,367.2327
106.2802,256.3797,620.9189,364.5392
111.1111,269.3204,630.8057,361.4853
115.9420,282.3083,640.4370,358.1287
120.7729,295.3105,649.8300,354.5195
125.6039,308.2985,659.0000,350.7014
130.4348,321.2480,667.9603,346.7123
135.2657,334.1381,676.7229,342.5848
140.0966,346.9509,685.2983,338.3474
144.9275,359.6712,693.6959,334.0246
149.7585,372.2864,701.9241,329.6377
154.5894,384.7855,709.9905,325.2050
159.4203,397.1596,717.9017,320.7421
164.2512,409.4013,725.6640,316.2627
169.0821,421.5045,733.2828,311.7783
173.9130,433.4642,740.7632,307.2989
178.7440,445.2766,748.1097,302.8331
183.5749,456.9385,755.3265,298.3880
188.4058,468.4477,762.4175,293.9699
193.2367,479.8024,769.3863,289.5839
198.0676,491.0016,776.2361,285.2345
202.8986,502.0447,782.9701,280.9254
207.7295,512.9314,789.5910,276.6595
212.5604,523.6620,796.1015,272.4396
217.3913,534.2367,802.5042,268.2675
222.2222,544.6564,808.8015,264.1451
227.0531,554.9219,814.9956,260.0736
231.8841,565.0344,821.0886,256.0542
236.7150,574.9951,827.0825,252.0874
241.5459,584.8054,832.9794,248.1740
246.3768,594.4668,838.7811,244.3143
251.2077,603.9809,844.4894,240.5085
256.0386,613.3494,850.1060,236.7566
260.8696,622.5739,855.6325,233.0586
265.7005,631.6563,861.0707,229.4143
270.5314,640.5984,866.4219,225.8235
