      Time,s      T_center,C     T_surface,C        DeltaT,C
************************************************************
        0.00          100.00          118.26           18.26
        2.18          100.00          150.16           50.16
        4.37          100.00          168.50           68.50
        6.55          100.00          182.82           82.82
        8.73          100.00          194.97           94.97
       10.92          100.00          205.70          105.70
       13.10          100.01          215.43          115.42
       15.28          100.02          224.38          124.35
       17.47          100.06          232.72          132.65
       19.65          100.14          240.55          140.41
       21.83          100.27          247.97          147.70
       24.02          100.47          255.02          154.55
       26.20          100.76          261.76          161.00
       28.38          101.16          268.23          167.07
       30.57          101.68          274.46          172.77
       32.75          102.34          280.47          178.13
       34.93          103.13          286.29          183.16
       37.12          104.07          291.93          187.86
       39.30          105.16          297.41          192.25
       41.48          106.40          302.74          196.34
       43.67          107.78          307.94          200.15
       45.85          109.32          313.01          203.69
       48.03          111.00          317.97          206.97
       50.22          112.82          322.82          210.00
       52.40          114.77          327.57          212.79
       54.59          116.86          332.22          215.36
       56.77          119.06          336.79          217.72
       58.95          121.39          341.27          219.88
       61.14          123.83          345.68          221.86
       63.32          126.37          350.02          223.65
       65.50          129.01          354.28          225.27
       67.69          131.75          358.48          226.74
       69.87          134.57          362.62          228.05
       72.05          137.47          366.70          229.23
       74.24          140.46          370.73          230.27
       76.42          143.51          374.70          231.19
       78.60          146.63          378.62          231.99
       80.79          149.81          382.50          232.68
       82.97          153.05          386.33          233.27
       85.15          156.35          390.11          233.77
       87.34          159.69          393.85          234.17
       89.52          163.07          397.56          234.49
       91.70          166.50          401.22          234.72
       93.89          169.97          404.85          234.89
       96.07          173.47          408.45          234.98
       98.25          177.00          412.01          235.01
      100.44          180.56          415.54          234.98
      102.62          184.15          419.04          234.89
      104.80          187.76          422.50          234.74
      106.99          191.39          425.94          234.55
      109.17          195.04          429.35          234.31
      111.35          198.71          432.74          234.03
      113.54          202.39          436.10          233.70
      115.72          206.09          439.43          233.34
      117.90          209.80          442.74          232.94
      120.09          213.51          446.02          232.51
      122.27          217.24          449.28          232.05
      124.45          220.97          452.52          231.56
