 Time(s)   T_center   T_surface   dT
      0.00      100.00      135.92       35.92
      0.44      100.00      154.23       54.23
      0.87      100.00      167.63       67.63
      1.31      100.00      178.64       78.64
      1.75      100.00      188.19       88.19
      2.18      100.00      196.70       96.70
      2.62      100.00      204.45      104.45
      3.06      100.00      211.60      111.60
      3.49      100.00      218.26      118.26
      3.93      100.00      224.51      124.51
      4.37      100.00      230.42      130.42
      4.80      100.00      236.04      136.04
      5.24      100.00      241.39      141.39
      5.68      100.00      246.51      146.51
      6.11      100.00      251.43      151.43
      6.55      100.00      256.17      156.17
      6.99      100.00      260.74      160.73
      7.42      100.00      265.15      165.15
      7.86      100.00      269.43      169.43
      8.30      100.00      273.58      173.58
      8.73      100.00      277.61      177.61
      9.17      100.00      281.53      181.53
      9.61      100.00      285.35      185.35
     10.04      100.00      289.08      189.07
     10.48      100.00      292.71      192.71
     10.92      100.00      296.26      196.26
     11.35      100.00      299.74      199.73
     11.79      100.01      303.13      203.13
     12.23      100.01      306.46      206.45
     12.66      100.01      309.72      209.71
     13.10      100.01      312.92      212.90
     13.54      100.02      316.06      216.04
     13.97      100.02      319.14      219.11
     14.41      100.03      322.16      222.13
     14.85      100.04      325.13      225.10
     15.28      100.05      328.06      228.01
     15.72      100.06      330.93      230.87
     16.16      100.07      333.76      233.69
     16.59      100.08      336.55      236.46
     17.03      100.10      339.29      239.19
     17.47      100.12      341.99      241.87
     17.90      100.14      344.65      244.51
     18.34      100.17      347.28      247.11
     18.78      100.20      349.87      249.67
     19.21      100.23      352.42      252.19
     19.65      100.27      354.94      254.68
     20.09      100.31      357.43      257.13
     20.52      100.35      359.89      259.54
     20.96      100.40      362.31      261.91
     21.40      100.45      364.71      264.25
     21.83      100.51      367.07      266.56
     22.27      100.58      369.41      268.83
     22.71      100.65      371.72      271.07
     23.14      100.72      374.01      273.28
     23.58      100.81      376.27      275.46
     24.02      100.90      378.50      277.60
     24.45      100.99      380.71      279.72
     24.89      101.10      382.90      281.80
     25.33      101.21      385.06      283.86
     25.76      101.33      387.20      285.88
     26.20      101.45      389.32      287.87
     26.64      101.59      391.42      289.84
     27.07      101.73      393.50      291.77
     27.51      101.88      395.56      293.68
     27.95      102.04      397.60      295.56
     28.38      102.21      399.62      297.41
     28.82      102.38      401.62      299.24
     29.26      102.57      403.60      301.03
     29.69      102.76      405.57      302.80
     30.13      102.97      407.51      304.54
     30.57      103.18      409.44      306.26
     31.00      103.41      411.36      307.95
     31.44      103.64      413.25      309.61
     31.88      103.88      415.13      311.25
