Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.0121,100.0000,106.0783,6.0783
0.0243,100.0000,109.2283,9.2283
0.0364,100.0000,111.5589,11.5589
0.0485,100.0000,113.4915,13.4915
0.0607,100.0000,115.1778,15.1778
0.0728,100.0000,116.6924,16.6924
0.0849,100.0000,118.0785,18.0785
0.0971,100.0000,119.3638,19.3638
0.1092,100.0000,120.5672,20.5672
0.1213,100.0000,121.7025,21.7025
0.1335,100.0000,122.7799,22.7799
0.1456,100.0000,123.8073,23.8073
0.1577,100.0000,124.7909,24.7909
0.1699,100.0000,125.7359,25.7359
0.1820,100.0000,126.6464,26.6464
0.1941,100.0000,127.5258,27.5258
0.2063,100.0000,128.3771,28.3771
0.2184,100.0000,129.2027,29.2027
0.2305,100.0000,130.0048,30.0048
0.2427,100.0000,130.7853,30.7853
0.2548,100.0000,131.5457,31.5457
0.2669,100.0000,132.2876,32.2876
0.2791,100.0000,133.0121,33.0121
0.2912,100.0000,133.7204,33.7204
0.3033,100.0000,134.4136,34.4136
0.3155,100.0000,135.0925,35.0925
0.3276,100.0000,135.7579,35.7579
0.3397,100.0000,136.4106,36.4106
0.3519,100.0000,137.0514,37.0514
0.3640,100.0000,137.6807,37.6807
0.3761,100.0000,138.2992,38.2992
0.3883,100.0000,138.9074,38.9074
0.4004,100.0000,139.5058,39.5058
0.4125,100.0000,140.0948,40.0948
0.4247,100.0000,140.6749,40.6749
0.4368,100.0000,141.2464,41.2464
0.4489,100.0000,141.8097,41.8097
0.4611,100.0000,142.3651,42.3651
0.4732,100.0000,142.9130,42.9130
0.4853,100.0000,143.4536,43.4536
0.4975,100.0000,143.9871,43.9871
0.5096,100.0000,144.5139,44.5139
0.5217,100.0000,145.0343,45.0343
0.5339,100.0000,145.5483,45.5483
0.5460,100.0000,146.0563,46.0563
0.5581,100.0000,146.5584,46.5584
0.5703,100.0000,147.0548,47.0548
0.5824,100.0000,147.5458,47.5458
0.5945,100.0000,148.0314,48.0314
0.6067,100.0000,148.5119,48.5119
0.6188,100.0000,148.9874,48.9874
0.6309,100.0000,149.4580,49.4580
0.6431,100.0000,149.9240,49.9240
0.6552,100.0000,150.3853,50.3853
0.6673,100.0000,150.8422,50.8422
0.6795,100.0000,151.2948,51.2948
0.6916,100.0000,151.7431,51.7431
0.7037,100.0000,152.1874,52.1874
0.7159,100.0000,152.6276,52.6276
0.7280,100.0000,153.0640,53.0640
0.7401,100.0000,153.4965,53.4965
0.7523,100.0000,153.9254,53.9254
0.7644,100.0000,154.3507,54.3507
0.7765,100.0000,154.7724,54.7724
0.7887,100.0000,155.1906,55.1906
0.8008,100.0000,155.6055,55.6055
0.8129,100.0000,156.0172,56.0172
0.8251,100.0000,156.4256,56.4256
0.8372,100.0000,156.8308,56.8308
0.8493,100.0000,157.2330,57.2330
0.8615,100.0000,157.6322,57.6322
0.8736,100.0000,158.0284,58.0284
0.8857,100.0000,158.4218,58.4218
0.8979,100.0000,158.8123,58.8123
0.9100,100.0000,159.2000,59.2000
0.9221,100.0000,159.5851,59.5851
0.9343,100.0000,159.9675,59.9675
0.9464,100.0000,160.3473,60.3473
0.9585,100.0000,160.7245,60.7245
0.9707,100.0000,161.0992,61.0992
0.9828,100.0000,161.4714,61.4714
0.9949,100.0000,161.8413,61.8413
1.0071,100.0000,162.2087,62.2087
1.0192,100.0000,162.5739,62.5739
1.0313,100.0000,162.9367,62.9367
1.0435,100.0000,163.2973,63.2973
1.0556,100.0000,163.6557,63.6557
1.0677,100.0000,164.0120,64.0120
1.0799,100.0000,164.3661,64.3661
1.0920,100.0000,164.7181,64.7181
1.1041,100.0000,165.0680,65.0680
1.1163,100.0000,165.4160,65.4160
1.1284,100.0000,165.7619,65.7619
1.1405,100.0000,166.1058,66.1058
1.1527,100.0000,166.4479,66.4479
1.1648,100.0000,166.7880,66.7880
1.1769,100.0000,167.1263,67.1263
1.1891,100.0000,167.4627,67.4627
1.2012,100.0000,167.7973,67.7973
1.2133,100.0000,168.1302,68.1302
1.2255,100.0000,168.4612,68.4612
1.2376,100.0000,168.7906,68.7906
1.2497,100.0000,169.1182,69.1182
1.2619,100.0000,169.4441,69.4441
1.2740,100.0000,169.7684,69.7684
1.2861,100.0000,170.0911,70.0911
1.2983,100.0000,170.4121,70.4121
1.3104,100.0000,170.7316,70.7316
1.3225,100.0000,171.0495,71.0495
1.3347,100.0000,171.3659,71.3659
1.3468,100.0000,171.6807,71.6807
1.3589,100.0000,171.9940,71.9940
1.3711,100.0000,172.3059,72.3059
1.3832,100.0000,172.6163,72.6163
1.3953,100.0000,172.9252,72.9252
1.4075,100.0000,173.2327,73.2327
1.4196,100.0000,173.5388,73.5388
1.4317,100.0000,173.8435,73.8435
1.4439,100.0000,174.1469,74.1469
1.4560,100.0000,174.4489,74.4489
1.4681,100.0000,174.7496,74.7496
1.4803,100.0000,175.0489,75.0489
1.4924,100.0000,175.3470,75.3470
1.5045,100.0000,175.6437,75.6437
1.5167,100.0000,175.9392,75.9392
1.5288,100.0000,176.2334,76.2334
1.5409,100.0000,176.5264,76.5264
1.5531,100.0000,176.8182,76.8182
1.5652,100.0000,177.1087,77.1087
1.5773,100.0000,177.3981,77.3981
1.5895,100.0000,177.6862,77.6862
1.6016,100.0000,177.9732,77.9732
1.6137,100.0000,178.2591,78.2591
1.6259,100.0000,178.5438,78.5438
1.6380,100.0000,178.8273,78.8273
1.6501,100.0000,179.1098,79.1098
1.6623,100.0000,179.3911,79.3911
1.6744,100.0000,179.6714,79.6714
1.6865,100.0000,179.9505,79.9505
1.6987,100.0000,180.2286,80.2286
1.7108,100.0000,180.5057,80.5057
1.7229,100.0000,180.7817,80.7817
1.7351,100.0000,181.0566,81.0566
1.7472,100.0000,181.3305,81.3305
1.7593,100.0000,181.6034,81.6034
1.7715,100.0000,181.8753,81.8753
1.7836,100.0000,182.1463,82.1463
1.7957,100.0000,182.4162,82.4162
1.8079,100.0000,182.6851,82.6851
1.8200,100.0000,182.9531,82.9531
1.8321,100.0000,183.2202,83.2202
1.8443,100.0000,183.4862,83.4862
1.8564,100.0000,183.7514,83.7514
1.8685,100.0000,184.0156,84.0156
1.8807,100.0000,184.2789,84.2789
1.8928,100.0000,184.5413,84.5413
1.9049,100.0000,184.8028,84.8028
1.9171,100.0000,185.0635,85.0635
1.9292,100.0000,185.3232,85.3232
1.9413,100.0000,185.5820,85.5820
1.9535,100.0000,185.8400,85.8400
1.9656,100.0000,186.0972,86.0972
1.9777,100.0000,186.3534,86.3534
1.9899,100.0000,186.6089,86.6089
2.0020,100.0000,186.8635,86.8635
2.0141,100.0000,187.1173,87.1173
2.0263,100.0000,187.3702,87.3702
2.0384,100.0000,187.6224,87.6224
2.0505,100.0000,187.8737,87.8737
2.0627,100.0000,188.1243,88.1243
2.0748,100.0000,188.3740,88.3740
2.0869,100.0000,188.6230,88.6230
2.0991,100.0000,188.8712,88.8712
2.1112,100.0000,189.1186,89.1186
2.1233,100.0000,189.3653,89.3653
2.1355,100.0000,189.6112,89.6112
2.1476,100.0000,189.8563,89.8563
2.1597,100.0000,190.1007,90.1007
2.1719,100.0000,190.3444,90.3444
2.1840,100.0000,190.5873,90.5873
2.1961,100.0000,190.8296,90.8296
2.2083,100.0000,191.0711,91.0711
2.2204,100.0000,191.3118,91.3118
2.2325,100.0000,191.5519,91.5519
2.2447,100.0000,191.7913,91.7913
2.2568,100.0000,192.0300,92.0300
2.2689,100.0000,192.2680,92.2680
2.2811,100.0000,192.5053,92.5053
2.2932,100.0000,192.7419,92.7419
2.3053,100.0000,192.9779,92.9779
2.3175,100.0000,193.2131,93.2131
2.3296,100.0000,193.4478,93.4478
2.3417,100.0000,193.6817,93.6817
2.3539,100.0000,193.9150,93.9150
2.3660,100.0000,194.1477,94.1477
2.3781,100.0000,194.3797,94.3797
2.3903,100.0000,194.6111,94.6111
2.4024,100.0000,194.8418,94.8418
2.4145,100.0000,195.0720,95.0720
2.4267,100.0000,195.3015,95.3015
2.4388,100.0000,195.5303,95.5303
2.4509,100.0000,195.7586,95.7586
2.4631,100.0000,195.9863,95.9863
2.4752,100.0000,196.2133,96.2133
2.4873,100.0000,196.4397,96.4397
2.4995,100.0000,196.6656,96.6656
2.5116,100.0000,196.8909,96.8909
2.5237,100.0000,197.1155,97.1155
2.5359,100.0000,197.3396,97.3396
2.5480,100.0000,197.5631,97.5631
2.5601,100.0000,197.7861,97.7861
2.5723,100.0000,198.0084,98.0084
2.5844,100.0000,198.2302,98.2302
2.5965,100.0000,198.4515,98.4515
2.6087,100.0000,198.6722,98.6722
2.6208,100.0000,198.8923,98.8923
2.6329,100.0000,199.1118,99.1118
2.6451,100.0000,199.3309,99.3309
2.6572,100.0000,199.5494,99.5494
2.6693,100.0000,199.7673,99.7673
2.6815,100.0000,199.9847,99.9847
2.6936,100.0000,200.2016,100.2016
2.7057,100.0000,200.4179,100.4179
2.7179,100.0000,200.6337,100.6337
2.7300,100.0000,200.8490,100.8490
2.7421,100.0000,201.0638,101.0638
2.7543,100.0000,201.2781,101.2781
2.7664,100.0000,201.4918,101.4918
2.7785,100.0000,201.7051,101.7051
2.7907,100.0000,201.9178,101.9178
2.8028,100.0000,202.1301,102.1301
2.8149,100.0000,202.3418,102.3418
2.8271,100.0000,202.5531,102.5531
2.8392,100.0000,202.7638,102.7638
2.8513,100.0000,202.9741,102.9741
2.8635,100.0000,203.1839,103.1839
2.8756,100.0000,203.3932,103.3932
2.8877,100.0000,203.6020,103.6020
2.8999,100.0000,203.8103,103.8103
2.9120,100.0000,204.0182,104.0182
2.9241,100.0000,204.2256,104.2256
2.9363,100.0000,204.4325,104.4325
2.9484,100.0000,204.6390,104.6390
2.9605,100.0000,204.8450,104.8450
2.9727,100.0000,205.0506,105.0506
2.9848,100.0000,205.2557,105.2557
2.9969,100.0000,205.4603,105.4603
3.0091,100.0000,205.6645,105.6645
3.0212,100.0000,205.8683,105.8683
3.0333,100.0000,206.0716,106.0716
3.0455,100.0000,206.2744,106.2744
3.0576,100.0000,206.4768,106.4768
3.0697,100.0000,206.6788,106.6788
3.0819,100.0000,206.8804,106.8804
3.0940,100.0000,207.0815,107.0815
3.1061,100.0000,207.2822,107.2822
3.1183,100.0000,207.4824,107.4824
3.1304,100.0000,207.6823,107.6823
3.1425,100.0000,207.8817,107.8817
3.1547,100.0000,208.0807,108.0807
3.1668,100.0000,208.2793,108.2793
3.1789,100.0000,208.4774,108.4774
3.1911,100.0000,208.6752,108.6752
3.2032,100.0000,208.8725,108.8725
3.2153,100.0000,209.0695,109.0695
3.2275,100.0000,209.2660,109.2660
3.2396,100.0000,209.4621,109.4621
3.2517,100.0000,209.6579,109.6579
3.2639,100.0000,209.8532,109.8532
3.2760,100.0000,210.0481,110.0481
3.2881,100.0000,210.2427,110.2427
3.3002,100.0000,210.4368,110.4368
3.3124,100.0000,210.6306,110.6306
3.3245,100.0000,210.8240,110.8240
3.3366,100.0000,211.0170,111.0170
3.3488,100.0000,211.2096,111.2096
3.3609,100.0000,211.4018,111.4018
3.3730,100.0000,211.5936,111.5936
3.3852,100.0000,211.7851,111.7851
3.3973,100.0000,211.9762,111.9762
3.4094,100.0000,212.1669,112.1669
3.4216,100.0000,212.3573,112.3573
3.4337,100.0000,212.5473,112.5473
3.4458,100.0000,212.7369,112.7369
3.4580,100.0000,212.9262,112.9262
3.4701,100.0000,213.1150,113.1150
3.4822,100.0000,213.3036,113.3036
3.4944,100.0000,213.4918,113.4918
3.5065,100.0000,213.6796,113.6796
3.5186,100.0000,213.8670,113.8670
3.5308,100.0000,214.0541,114.0541
3.5429,100.0000,214.2409,114.2409
3.5550,100.0000,214.4273,114.4273
3.5672,100.0000,214.6133,114.6133
3.5793,100.0000,214.7991,114.7991
3.5914,100.0000,214.9844,114.9844
3.6036,100.0000,215.1695,115.1695
3.6157,100.0000,215.3541,115.3541
3.6278,100.0000,215.5385,115.5385
3.6400,100.0000,215.7225,115.7225
3.6521,100.0000,215.9062,115.9062
3.6642,100.0000,216.0895,116.0895
3.6764,100.0000,216.2725,116.2725
3.6885,100.0000,216.4552,116.4552
3.7006,100.0000,216.6375,116.6375
3.7128,100.0000,216.8195,116.8195
3.7249,100.0000,217.0012,117.0012
3.7370,100.0000,217.1826,117.1826
3.7492,100.0000,217.3636,117.3636
3.7613,100.0000,217.5444,117.5444
3.7734,100.0000,217.7248,117.7248
3.7856,100.0000,217.9048,117.9048
3.7977,100.0000,218.0846,118.0846
3.8098,100.0000,218.2641,118.2641
3.8220,100.0000,218.4432,118.4432
3.8341,100.0000,218.6220,118.6220
3.8462,100.0000,218.8006,118.8006
3.8584,100.0000,218.9788,118.9788
3.8705,100.0000,219.1567,119.1567
3.8826,100.0000,219.3343,119.3343
3.8948,100.0000,219.5116,119.5116
3.9069,100.0000,219.6885,119.6885
3.9190,100.0000,219.8652,119.8652
3.9312,100.0000,220.0416,120.0416
3.9433,100.0000,220.2177,120.2177
3.9554,100.0000,220.3935,120.3935
3.9676,100.0000,220.5690,120.5690
3.9797,100.0000,220.7442,120.7442
3.9918,100.0000,220.9191,120.9191
4.0040,100.0000,221.0937,121.0937
4.0161,100.0000,221.2680,121.2680
4.0282,100.0000,221.4421,121.4421
4.0404,100.0000,221.6158,121.6158
4.0525,100.0000,221.7893,121.7893
4.0646,100.0000,221.9624,121.9624
4.0768,100.0000,222.1353,122.1353
4.0889,100.0000,222.3079,122.3079
4.1010,100.0000,222.4803,122.4803
4.1132,100.0000,222.6523,122.6523
4.1253,100.0000,222.8241,122.8241
4.1374,100.0000,222.9956,122.9956
4.1496,100.0000,223.1668,123.1668
4.1617,100.0000,223.3377,123.3377
4.1738,100.0000,223.5084,123.5084
4.1860,100.0000,223.6787,123.6787
4.1981,100.0000,223.8489,123.8489
4.2102,100.0000,224.0187,124.0187
4.2224,100.0000,224.1883,124.1883
4.2345,100.0000,224.3576,124.3576
4.2466,100.0000,224.5266,124.5266
4.2588,100.0000,224.6954,124.6954
4.2709,100.0000,224.8639,124.8639
4.2830,100.0000,225.0322,125.0322
4.2952,100.0000,225.2001,125.2001
4.3073,100.0000,225.3679,125.3679
4.3194,100.0000,225.5353,125.5353
4.3316,100.0000,225.7025,125.7025
4.3437,100.0000,225.8695,125.8695
4.3558,100.0000,226.0361,126.0361
4.3680,100.0000,226.2026,126.2026
4.3801,100.0000,226.3687,126.3687
4.3922,100.0000,226.5347,126.5347
4.4044,100.0000,226.7003,126.7003
4.4165,100.0000,226.8658,126.8658
4.4286,100.0000,227.0309,127.0309
4.4408,100.0000,227.1958,127.1958
4.4529,100.0000,227.3605,127.3605
4.4650,100.0000,227.5249,127.5249
4.4772,100.0000,227.6891,127.6891
4.4893,100.0000,227.8530,127.8530
4.5014,100.0000,228.0167,128.0167
4.5136,100.0000,228.1801,128.1801
4.5257,100.0000,228.3433,128.3433
4.5378,100.0000,228.5063,128.5063
4.5500,100.0000,228.6690,128.6690
4.5621,100.0000,228.8315,128.8315
4.5742,100.0000,228.9937,128.9937
4.5864,100.0000,229.1557,129.1557
4.5985,100.0000,229.3175,129.3175
4.6106,100.0000,229.4790,129.4790
4.6228,100.0000,229.6403,129.6403
4.6349,100.0000,229.8013,129.8013
4.6470,100.0000,229.9622,129.9622
4.6592,100.0000,230.1227,130.1227
4.6713,100.0000,230.2831,130.2831
4.6834,100.0000,230.4432,130.4432
4.6956,100.0000,230.6031,130.6031
4.7077,100.0000,230.7628,130.7628
4.7198,100.0000,230.9222,130.9222
4.7320,100.0000,231.0815,131.0815
4.7441,100.0000,231.2404,131.2404
4.7562,100.0000,231.3992,131.3992
4.7684,100.0000,231.5577,131.5577
4.7805,100.0000,231.7161,131.7161
4.7926,100.0000,231.8742,131.8742
4.8048,100.0000,232.0320,132.0320
4.8169,100.0000,232.1897,132.1897
4.8290,100.0000,232.3471,132.3471
4.8412,100.0000,232.5043,132.5043
4.8533,100.0000,232.6613,132.6613
4.8654,100.0000,232.8181,132.8181
4.8776,100.0000,232.9747,132.9747
4.8897,100.0000,233.1310,133.1310
4.9018,100.0000,233.2871,133.2871
4.9140,100.0000,233.4431,133.4431
4.9261,100.0000,233.5988,133.5988
4.9382,100.0000,233.7542,133.7542
4.9504,100.0000,233.9095,133.9095
4.9625,100.0000,234.0646,134.0646
4.9746,100.0000,234.2194,134.2194
4.9868,100.0000,234.3741,134.3741
4.9989,100.0000,234.5285,134.5285
5.0110,100.0000,234.6828,134.6828
5.0232,100.0000,234.8368,134.8368
5.0353,100.0000,234.9906,134.9906
5.0474,100.0000,235.1442,135.1442
5.0596,100.0000,235.2976,135.2976
5.0717,100.0000,235.4508,135.4508
5.0838,100.0000,235.6038,135.6038
5.0960,100.0000,235.7566,135.7566
5.1081,100.0000,235.9092,135.9092
5.1202,100.0000,236.0616,136.0616
5.1324,100.0000,236.2138,136.2138
5.1445,100.0000,236.3658,136.3658
5.1566,100.0000,236.5176,136.5176
5.1688,100.0000,236.6692,136.6692
5.1809,100.0000,236.8206,136.8206
5.1930,100.0000,236.9718,136.9718
5.2052,100.0000,237.1228,137.1228
5.2173,100.0000,237.2736,137.2736
5.2294,100.0000,237.4242,137.4242
5.2416,100.0000,237.5746,137.5746
5.2537,100.0000,237.7248,137.7248
5.2658,100.0000,237.8749,137.8749
5.2780,100.0000,238.0247,138.0247
5.2901,100.0000,238.1743,138.1743
5.3022,100.0000,238.3238,138.3238
5.3144,100.0000,238.4731,138.4731
5.3265,100.0000,238.6221,138.6221
5.3386,100.0000,238.7710,138.7710
5.3508,100.0000,238.9197,138.9197
5.3629,100.0000,239.0682,139.0682
5.3750,100.0000,239.2166,139.2166
5.3872,100.0000,239.3647,139.3647
5.3993,100.0000,239.5127,139.5127
5.4114,100.0000,239.6604,139.6604
5.4236,100.0000,239.8080,139.8080
5.4357,100.0000,239.9554,139.9554
5.4478,100.0000,240.1026,140.1026
5.4600,100.0000,240.2497,140.2497
5.4721,100.0000,240.3965,140.3965
5.4842,100.0000,240.5432,140.5432
5.4964,100.0000,240.6897,140.6897
