Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.1092,100.0000,117.1623,17.1623
0.2184,100.0000,126.8646,26.8646
0.3276,100.0000,133.9149,33.9149
0.4368,100.0000,139.6801,39.6801
0.5460,100.0000,144.6712,44.6712
0.6551,100.0000,149.1312,49.1312
0.7643,100.0000,153.1969,53.1969
0.8735,100.0000,156.9550,56.9550
0.9827,100.0000,160.4642,60.4642
1.0919,100.0000,163.7666,63.7666
1.2011,100.0000,166.8936,66.8936
1.3103,100.0000,169.8694,69.8694
1.4195,100.0000,172.7132,72.7132
1.5287,100.0000,175.4403,75.4403
1.6379,100.0000,178.0633,78.0633
1.7470,100.0000,180.5928,80.5928
1.8562,100.0000,183.0376,83.0376
1.9654,100.0000,185.4052,85.4052
2.0746,100.0000,187.7022,87.7022
2.1838,100.0000,189.9341,89.9341
2.2930,100.0000,192.1058,92.1058
2.4022,100.0000,194.2217,94.2217
2.5114,100.0000,196.2856,96.2856
2.6206,100.0000,198.3010,98.3010
2.7298,100.0000,200.2709,100.2709
2.8389,100.0000,202.1979,102.1979
2.9481,100.0000,204.0848,104.0848
3.0573,100.0000,205.9336,105.9336
3.1665,100.0000,207.7464,107.7464
3.2757,100.0000,209.5251,109.5251
3.3849,100.0000,211.2715,111.2715
3.4941,100.0000,212.9870,112.9870
3.6033,100.0000,214.6733,114.6733
3.7125,100.0000,216.3315,116.3315
3.8217,100.0000,217.9629,117.9629
3.9308,100.0000,219.5688,119.5688
4.0400,100.0000,221.1501,121.1501
4.1492,100.0000,222.7079,122.7079
4.2584,100.0000,224.2431,124.2431
4.3676,100.0000,225.7566,125.7566
4.4768,100.0000,227.2492,127.2492
4.5860,100.0000,228.7216,128.7216
4.6952,100.0000,230.1747,130.1747
4.8044,100.0000,231.6091,131.6091
4.9136,100.0000,233.0254,133.0254
5.0227,100.0000,234.4242,134.4242
5.1319,100.0000,235.8061,135.8061
5.2411,100.0000,237.1717,137.1717
5.3503,100.0000,238.5214,138.5214
5.4595,100.0000,239.8558,139.8558
5.5687,100.0000,241.1754,141.1754
5.6779,100.0000,242.4804,142.4804
5.7871,100.0000,243.7715,143.7715
5.8963,100.0000,245.0490,145.0490
6.0055,100.0000,246.3132,146.3132
6.1146,100.0000,247.5645,147.5645
6.2238,100.0000,248.8033,148.8033
6.3330,100.0000,250.0300,150.0300
6.4422,100.0000,251.2447,151.2447
6.5514,100.0000,252.4479,152.4479
6.6606,100.0000,253.6398,153.6398
6.7698,100.0000,254.8207,154.8207
6.8790,100.0000,255.9909,155.9909
6.9882,100.0000,257.1506,157.1506
7.0974,100.0000,258.3001,158.3001
7.2066,100.0000,259.4396,159.4396
7.3157,100.0000,260.5694,160.5694
7.4249,100.0000,261.6896,161.6896
7.5341,100.0000,262.8005,162.8005
7.6433,100.0000,263.9023,163.9023
7.7525,100.0000,264.9952,164.9952
7.8617,100.0000,266.0794,166.0793
7.9709,100.0000,267.1550,167.1549
8.0801,100.0000,268.2222,168.2222
8.1893,100.0000,269.2812,169.2812
8.2985,100.0000,270.3322,170.3322
8.4076,100.0000,271.3754,171.3754
8.5168,100.0000,272.4108,172.4108
8.6260,100.0000,273.4387,173.4386
8.7352,100.0000,274.4591,174.4591
8.8444,100.0000,275.4723,175.4722
8.9536,100.0000,276.4783,176.4783
9.0628,100.0000,277.4773,177.4773
9.1720,100.0001,278.4695,178.4694
9.2812,100.0001,279.4548,179.4548
9.3904,100.0001,280.4336,180.4335
9.4995,100.0001,281.4058,181.4057
9.6087,100.0001,282.3716,182.3715
9.7179,100.0001,283.3312,183.3310
9.8271,100.0001,284.2845,184.2844
9.9363,100.0002,285.2318,185.2316
10.0455,100.0002,286.1730,186.1728
10.1547,100.0002,287.1084,187.1082
10.2639,100.0003,288.0380,188.0378
10.3731,100.0003,288.9620,188.9617
10.4823,100.0003,289.8803,189.8800
10.5914,100.0004,290.7931,190.7927
10.7006,100.0004,291.7005,191.7000
10.8098,100.0005,292.6025,192.6020
10.9190,100.0005,293.4993,193.4987
11.0282,100.0006,294.3909,194.3903
11.1374,100.0007,295.2774,195.2767
11.2466,100.0008,296.1589,196.1581
11.3558,100.0009,297.0354,197.0345
11.4650,100.0010,297.9070,197.9061
11.5742,100.0011,298.7739,198.7728
11.6833,100.0012,299.6360,199.6348
11.7925,100.0014,300.4934,200.4920
11.9017,100.0015,301.3462,201.3447
12.0109,100.0017,302.1945,202.1928
12.1201,100.0018,303.0383,203.0365
12.2293,100.0020,303.8777,203.8757
12.3385,100.0023,304.7127,204.7105
12.4477,100.0025,305.5435,205.5410
12.5569,100.0027,306.3700,206.3672
12.6661,100.0030,307.1923,207.1893
12.7753,100.0033,308.0104,208.0071
12.8844,100.0036,308.8245,208.8209
12.9936,100.0039,309.6346,209.6307
13.1028,100.0043,310.4407,210.4364
13.2120,100.0047,311.2429,211.2382
13.3212,100.0051,312.0413,212.0361
13.4304,100.0056,312.8357,212.8302
13.5396,100.0061,313.6265,213.6204
13.6488,100.0066,314.4135,214.4069
13.7580,100.0072,315.1968,215.1896
13.8672,100.0077,315.9764,215.9687
13.9763,100.0084,316.7525,216.7441
14.0855,100.0091,317.5250,217.5160
14.1947,100.0098,318.2941,218.2843
14.3039,100.0106,319.0596,219.0490
14.4131,100.0114,319.8217,219.8103
14.5223,100.0122,320.5804,220.5682
14.6315,100.0132,321.3358,221.3227
14.7407,100.0141,322.0879,222.0738
14.8499,100.0152,322.8367,222.8215
14.9591,100.0163,323.5822,223.5660
15.0682,100.0174,324.3246,224.3072
15.1774,100.0187,325.0638,225.0451
15.2866,100.0200,325.7998,225.7799
15.3958,100.0213,326.5328,226.5115
15.5050,100.0228,327.2627,227.2399
15.6142,100.0243,327.9896,227.9653
15.7234,100.0259,328.7134,228.6876
15.8326,100.0276,329.4344,229.4068
15.9418,100.0293,330.1523,230.1230
16.0510,100.0312,330.8674,230.8362
16.1601,100.0331,331.5796,231.5465
16.2693,100.0352,332.2889,232.2538
16.3785,100.0373,332.9955,232.9582
16.4877,100.0396,333.6992,233.6597
16.5969,100.0419,334.4002,234.3583
16.7061,100.0444,335.0985,235.0541
16.8153,100.0470,335.7940,235.7471
16.9245,100.0496,336.4869,236.4373
17.0337,100.0525,337.1772,237.1247
17.1429,100.0554,337.8648,237.8094
17.2520,100.0584,338.5498,238.4913
17.3612,100.0616,339.2322,239.1706
17.4704,100.0650,339.9121,239.8472
17.5796,100.0684,340.5895,240.5211
17.6888,100.0720,341.2644,241.1923
17.7980,100.0758,341.9368,241.8610
17.9072,100.0797,342.6067,242.5270
18.0164,100.0838,343.2742,243.1905
18.1256,100.0880,343.9393,243.8514
18.2348,100.0923,344.6021,244.5097
18.3439,100.0969,345.2624,245.1655
18.4531,100.1016,345.9205,245.8188
18.5623,100.1065,346.5762,246.4697
18.6715,100.1116,347.2296,247.1180
18.7807,100.1168,347.8807,247.7639
18.8899,100.1223,348.5296,248.4073
18.9991,100.1279,349.1762,249.0483
19.1083,100.1337,349.8206,249.6869
19.2175,100.1398,350.4628,250.3231
19.3267,100.1460,351.1029,250.9569
19.4359,100.1525,351.7407,251.5883
19.5450,100.1591,352.3765,252.2174
19.6542,100.1660,353.0101,252.8441
19.7634,100.1731,353.6416,253.4685
19.8726,100.1804,354.2710,254.0906
19.9818,100.1880,354.8983,254.7104
20.0910,100.1958,355.5236,255.3279
20.2002,100.2038,356.1469,255.9431
20.3094,100.2121,356.7681,256.5560
20.4186,100.2206,357.3874,257.1668
20.5278,100.2294,358.0046,257.7752
20.6369,100.2385,358.6199,258.3815
20.7461,100.2478,359.2333,258.9855
20.8553,100.2574,359.8447,259.5873
20.9645,100.2672,360.4541,260.1869
21.0737,100.2773,361.0617,260.7844
21.1829,100.2878,361.6674,261.3796
21.2921,100.2985,362.2712,261.9727
21.4013,100.3095,362.8731,262.5637
21.5105,100.3207,363.4732,263.1525
21.6197,100.3323,364.0715,263.7392
21.7288,100.3442,364.6680,264.3237
21.8380,100.3564,365.2626,264.9062
21.9472,100.3690,365.8555,265.4865
22.0564,100.3818,366.4465,266.0647
22.1656,100.3950,367.0359,266.6409
22.2748,100.4084,367.6234,267.2150
22.3840,100.4223,368.2093,267.7870
22.4932,100.4364,368.7934,268.3569
22.6024,100.4509,369.3758,268.9248
22.7116,100.4658,369.9565,269.4907
22.8207,100.4810,370.5355,270.0545
22.9299,100.4965,371.1128,270.6163
23.0391,100.5125,371.6885,271.1761
23.1483,100.5288,372.2626,271.7338
23.2575,100.5454,372.8350,272.2896
23.3667,100.5624,373.4057,272.8433
23.4759,100.5798,373.9749,273.3951
23.5851,100.5976,374.5425,273.9449
23.6943,100.6158,375.1085,274.4927
23.8035,100.6344,375.6729,275.0385
23.9126,100.6533,376.2357,275.5824
24.0218,100.6727,376.7970,276.1243
24.1310,100.6925,377.3567,276.6642
24.2402,100.7127,377.9149,277.2023
24.3494,100.7332,378.4716,277.7383
24.4586,100.7543,379.0268,278.2725
24.5678,100.7757,379.5804,278.8047
24.6770,100.7975,380.1326,279.3350
24.7862,100.8198,380.6833,279.8634
24.8954,100.8426,381.2325,280.3899
25.0045,100.8657,381.7803,280.9145
25.1137,100.8893,382.3266,281.4372
25.2229,100.9134,382.8714,281.9580
25.3321,100.9379,383.4149,282.4770
25.4413,100.9628,383.9569,282.9940
25.5505,100.9883,384.4975,283.5092
25.6597,101.0141,385.0367,284.0225
25.7689,101.0405,385.5745,284.5340
25.8781,101.0673,386.1109,285.0436
25.9873,101.0946,386.6459,285.5513
26.0965,101.1224,387.1796,286.0572
26.2056,101.1506,387.7119,286.5613
26.3148,101.1794,388.2429,287.0635
26.4240,101.2086,388.7725,287.5639
26.5332,101.2383,389.3008,288.0624
26.6424,101.2686,389.8277,288.5592
26.7516,101.2993,390.3534,289.0541
26.8608,101.3305,390.8777,289.5472
26.9700,101.3622,391.4008,290.0385
27.0792,101.3945,391.9225,290.5280
27.1884,101.4273,392.4430,291.0157
27.2975,101.4605,392.9622,291.5016
27.4067,101.4944,393.4801,291.9857
27.5159,101.5287,393.9968,292.4681
27.6251,101.5636,394.5122,292.9486
27.7343,101.5989,395.0264,293.4274
27.8435,101.6349,395.5393,293.9044
27.9527,101.6713,396.0510,294.3797
28.0619,101.7084,396.5615,294.8531
28.1711,101.7459,397.0708,295.3248
28.2803,101.7840,397.5788,295.7948
28.3894,101.8227,398.0857,296.2630
28.4986,101.8619,398.5914,296.7295
28.6078,101.9017,399.0959,297.1942
28.7170,101.9420,399.5992,297.6572
28.8262,101.9829,400.1013,298.1184
28.9354,102.0244,400.6023,298.5780
29.0446,102.0664,401.1021,299.0357
29.1538,102.1090,401.6008,299.4918
29.2630,102.1522,402.0983,299.9462
29.3722,102.1960,402.5947,300.3988
29.4813,102.2403,403.0900,300.8497
29.5905,102.2852,403.5841,301.2989
29.6997,102.3307,404.0772,301.7464
29.8089,102.3768,404.5691,302.1922
29.9181,102.4235,405.0599,302.6363
30.0273,102.4708,405.5496,303.0788
30.1365,102.5187,406.0382,303.5195
30.2457,102.5672,406.5257,303.9585
30.3549,102.6163,407.0122,304.3959
30.4641,102.6660,407.4975,304.8316
30.5732,102.7163,407.9819,305.2656
30.6824,102.7672,408.4651,305.6979
30.7916,102.8187,408.9473,306.1286
30.9008,102.8708,409.4284,306.5576
31.0100,102.9236,409.9085,306.9850
31.1192,102.9769,410.3876,307.4107
31.2284,103.0309,410.8656,307.8347
31.3376,103.0855,411.3426,308.2571
