Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C)
0.0000,100.0000,100.0000
0.1092,100.2638,100.2641
0.2184,100.5276,100.5279
0.3276,100.7914,100.7917
0.4368,101.0551,101.0555
0.5460,101.3188,101.3191
0.6552,101.5824,101.5828
0.7644,101.8460,101.8463
0.8736,102.1094,102.1098
0.9827,102.3729,102.3732
1.0919,102.6362,102.6365
1.2011,102.8995,102.8998
1.3103,103.1627,103.1631
1.4195,103.4259,103.4262
1.5287,103.6890,103.6893
1.6379,103.9520,103.9524
1.7471,104.2150,104.2153
1.8563,104.4779,104.4782
1.9655,104.7408,104.7411
2.0747,105.0035,105.0039
2.1839,105.2663,105.2666
2.2931,105.5289,105.5293
2.4023,105.7915,105.7919
2.5115,106.0541,106.0544
2.6207,106.3165,106.3169
2.7299,106.5789,106.5793
2.8390,106.8413,106.8416
2.9482,107.1036,107.1039
3.0574,107.3658,107.3661
3.1666,107.6279,107.6283
3.2758,107.8900,107.8904
3.3850,108.1521,108.1524
3.4942,108.4140,108.4143
3.6034,108.6759,108.6763
3.7126,108.9378,108.9381
3.8218,109.1995,109.1999
3.9310,109.4613,109.4616
4.0402,109.7229,109.7232
4.1494,109.9845,109.9848
4.2586,110.2460,110.2464
4.3678,110.5075,110.5078
4.4770,110.7689,110.7692
4.5862,111.0302,111.0306
4.6953,111.2915,111.2918
4.8045,111.5527,111.5530
4.9137,111.8139,111.8142
5.0229,112.0750,112.0753
5.1321,112.3360,112.3363
5.2413,112.5969,112.5973
5.3505,112.8578,112.8582
5.4597,113.1187,113.1190
5.5689,113.3795,113.3798
5.6781,113.6402,113.6405
5.7873,113.9008,113.9011
5.8965,114.1614,114.1617
6.0057,114.4219,114.4223
6.1149,114.6824,114.6827
6.2241,114.9428,114.9431
6.3333,115.2031,115.2035
6.4425,115.4634,115.4637
6.5516,115.7236,115.7239
6.6608,115.9838,115.9841
6.7700,116.2439,116.2442
6.8792,116.5039,116.5042
6.9884,116.7638,116.7642
7.0976,117.0237,117.0241
7.2068,117.2836,117.2839
7.3160,117.5434,117.5437
7.4252,117.8031,117.8034
7.5344,118.0627,118.0631
7.6436,118.3223,118.3226
7.7528,118.5818,118.5822
7.8620,118.8413,118.8416
7.9712,119.1007,119.1010
8.0804,119.3600,119.3604
8.1896,119.6193,119.6196
8.2988,119.8785,119.8789
8.4079,120.1377,120.1380
8.5171,120.3968,120.3971
8.6263,120.6558,120.6561
8.7355,120.9148,120.9151
8.8447,121.1737,121.1740
8.9539,121.4325,121.4328
9.0631,121.6913,121.6916
9.1723,121.9500,121.9503
9.2815,122.2087,122.2090
9.3907,122.4673,122.4676
9.4999,122.7258,122.7261
9.6091,122.9843,122.9846
9.7183,123.2427,123.2430
9.8275,123.5010,123.5014
9.9367,123.7593,123.7596
10.0459,124.0175,124.0179
10.1551,124.2757,124.2760
10.2642,124.5338,124.5341
10.3734,124.7918,124.7922
10.4826,125.0498,125.0501
10.5918,125.3077,125.3080
10.7010,125.5656,125.5659
10.8102,125.8234,125.8237
10.9194,126.0811,126.0814
11.0286,126.3387,126.3391
11.1378,126.5963,126.5967
11.2470,126.8539,126.8542
11.3562,127.1114,127.1117
11.4654,127.3688,127.3691
11.5746,127.6261,127.6265
11.6838,127.8834,127.8838
11.7930,128.1407,128.1410
11.9022,128.3978,128.3982
12.0114,128.6549,128.6553
12.1206,128.9120,128.9123
12.2297,129.1690,129.1693
12.3389,129.4259,129.4262
12.4481,129.6828,129.6831
12.5573,129.9396,129.9399
12.6665,130.1963,130.1966
12.7757,130.4530,130.4533
12.8849,130.7096,130.7099
12.9941,130.9662,130.9665
13.1033,131.2226,131.2230
13.2125,131.4791,131.4794
13.3217,131.7354,131.7358
13.4309,131.9918,131.9921
13.5401,132.2480,132.2483
13.6493,132.5042,132.5045
13.7585,132.7603,132.7606
13.8677,133.0164,133.0167
13.9769,133.2724,133.2727
14.0860,133.5283,133.5286
14.1952,133.7842,133.7845
14.3044,134.0400,134.0403
14.4136,134.2958,134.2961
14.5228,134.5515,134.5518
14.6320,134.8071,134.8074
14.7412,135.0627,135.0630
14.8504,135.3182,135.3185
14.9596,135.5736,135.5739
15.0688,135.8290,135.8293
15.1780,136.0843,136.0847
15.2872,136.3396,136.3399
15.3964,136.5948,136.5951
15.5056,136.8499,136.8503
15.6148,137.1050,137.1053
15.7240,137.3600,137.3604
15.8332,137.6150,137.6153
15.9423,137.8699,137.8702
